PLA_TYPE;Date;Country;PLA_ID
Boeing 747-244B-SF                      ;10/14/2004;Nova Scotia;447
Boeing 747-246F                         ;11/27/2001;Nigeria;448
Boeing 747-249F                         ;02/19/1989;Malaysia;449
Boeing 747-2B5F                         ;12/22/1999;United Kingdom;450
Boeing 747-412F                         ;01/16/2017;Kyrgyzstan;451
Boeing 757-204                          ;09/14/1999;Spain;452
Boeing 757-N23                          ;11/06/2018;Guyana;453
Boeing 767-223ER                        ;09/11/2001;New York;454
Boeing 767-375ER                        ;02/23/2019;Texas;455
Boeing 777-200                          ;03/08/2014;;456
Boeing 777-236ER                        ;01/17/2008;England;457
Boeing 777-2H6ER                        ;07/17/2014;Ukraine;458
Boeing 777-31H                          ;08/05/2016;United Arab Emirates;459
Boeing 95                               ;01/10/1930;Nebraska;460
Boeing B-17F / Boeing B-17F             ;09/10/1943;Texas;461
Boeing B-17G                            ;11/11/1945;Italy;462
Boeing B-17G / Boeing B-17G             ;07/20/1946;;463
Boeing B-247-D                          ;10/30/1935;Wyoming;464
Boeing B-29                             ;05/17/1950;Azores;465
Boeing B-29 / Boeing B-29               ;03/12/1952;Texas;466
Boeing B-29A Superfortress              ;11/03/1948;England;467
Boeing B-29MR                           ;08/05/1950;California;468
Boeing B-314 (flying boat)              ;02/22/1943;Portugal;469
Boeing B-377 Stratofreighter            ;07/30/1987;Mexico;470
Boeing B-50 Superfortress               ;06/24/1952;England;471
Boeing B-52 / Boeing B-52               ;09/08/1958;Washington DC;472
Boeing B-707 (E-3B)                     ;09/22/1995;Alaska;473
Boeing B-707-121                        ;12/08/1963;Maryland;474
Boeing B-707-121B                       ;09/17/1965;Antigua;475
Boeing B-707-123B                       ;03/01/1962;New York;476
Boeing B-707-124                        ;05/22/1962;Missouri;477
Boeing B-707-131                        ;11/06/1967;Ohio;478
Boeing B-707-131B / L1049C Constellation;12/04/1965;New York;479
Boeing B-707-138B                       ;02/07/1968;Canada;480
Boeing B-707-309C                       ;02/27/1980;Philippines;481
Boeing B-707-31                         ;10/13/1976;Bolivia;482
Boeing B-707-320                        ;02/15/1961;Belgium;483
Boeing B-707-320F                       ;12/04/1990;Kenya;484
Boeing B-707-321B                       ;06/28/1965;California;485
Boeing B-707-321C                       ;06/12/1968;India;486
Boeing B-707-323 / Cessna 150           ;01/09/1971;New Jersey;487
Boeing B-707-323C                       ;10/22/1996;Ecuador;488
Boeing B-707-326C                       ;01/30/1979;Japan;489
Boeing B-707-328                        ;06/03/1962;Val-de-Marne;490
Boeing B-707-328B                       ;12/03/1969;Venezuela;491
Boeing B-707-328C                       ;03/06/1968;Guadeloupe;492
Boeing B-707-331                        ;11/23/1964;Italy;493
Boeing B-707-331B                       ;08/28/1973;California;494
Boeing B-707-338C                       ;10/17/1988;Italy;495
